저작물명,앨범명,아티스트명,대리중개사명,제작사명
소나기,소나기,아이오아이 (I.O.I),로엔엔터테인먼트,YMC엔터테인먼트
미워요,정인 From Andromeda,정인,CJ E&M,정글엔터테인먼트
신촌을 못가,신촌을 못가,포스트맨 (Postmen),로엔엔터테인먼트,Good fellas Entertainment
가질수 없는 너,Bank 선물,뱅크,Universal Music,Universal Music
술 한잔 해요,Atelier,지아 (Zia),로엔엔터테인먼트,로엔엔터테인먼트
눈의 꽃,미안하다 사랑한다 OST,박효신,오감엔터테인먼트,스펀지엔터테인먼트
지우개,지우개,알리 (Ali),로엔엔터테인먼트,예당컴퍼니
오르막길,2012 월간 윤종신 6월호,"정인, 윤종신",미러볼뮤직,미스틱 엔터테인먼트
그녀를 찾아주세요,This Is The Name,더 네임 (The Name),Warner Music,Warner Music
걱정말아요 그대,응답하라 1988 OST Part 2,이적,CJ E&M,"CJ E&M, 쿵엔터테인먼트"
물감,물감,문문 (MoonMoon),미러볼뮤직,MoonMoon
인연,사랑아...,이선희,CJ E&M,CJ E&M
바람기억,Principle Of My Soul,나얼,로엔엔터테인먼트,인넥스트 트렌드
겨울을 걷는다,반오십,윤딴딴,미러볼뮤직,Romantic Planet (로맨틱플래닛)
보고싶다,3집 보고 싶다,김범수,한국음반산업협회,Team Entertainment
바보에게... 바보가,바보에게... 바보가,박명수,다날엔터테인먼트,무지개미디어
퇴근버스,퇴근버스,이준호,디지탈레코드,디지탈레코드
내가 저지른 사랑,I`M,임창정,인터파크,NH EMG
행복하지 말아요,Solitude Love,엠씨더맥스 (M.C The Max),오감엔터테인먼트,미성음반(김흥대)
야생화,야생화,박효신,CJ E&M,젤리피쉬 엔터테인먼트
가시,Effect,버즈 (Buzz),NHN벅스,예전미디어
이 소설의 끝을 다시 써보려 해,이 소설의 끝을 다시 써보려 해,한동근,로엔엔터테인먼트,플레디스
체념,1집 Like The Bible,빅마마 (Big Mama),지니뮤직,YG Entertainment
스토커,3,10cm,미러볼뮤직,매직스트로베리사운드
Tears,First Bridge,소찬휘,한국음반산업협회,한국음반산업협회
One Love,때려 OST,엠씨더맥스 (M.C The Max),태원엔터테인먼트,태원엔터테인먼트
Hello,Like 1st Mini Album `First Story`,허각,CJ E&M,플랜에이 엔터테인먼트
그대라는 사치,The 3rd Digital Single `그대라는 사치`,한동근,로엔엔터테인먼트,플레디스
응급실,쾌걸 춘향 OST,이지 (izi),NHN벅스,엠라이브러리
소주 한잔,Bye,임창정,Warner Music,Warner Music
안아줘,Lo9ve3r4s,정준일,미러볼뮤직,악당뮤직
Marry Me,마크툽 프로젝트 Vol.03,구윤회,퍼플파인 엔터테인먼트,Maktub Studio
키보드 (Prod. By Hansen),공상과학음악,기리보이 (Giriboy),로엔엔터테인먼트,린치핀뮤직
Believer,Evolve,Imagine Dragons,Universal Music,"KIDinaKORNER, Interscope Records"
If You Were Me,미스터 션샤인 OST Part 14,벤(Ben),Stone Music Entertainment,"Stone Music Entertainment, 화앤담픽쳐스"
Wow Thing,Wow Thing,"슬기 (SEULGI), 신비, 청하, 소연",IRIVER,SM Entertainment
Perfect,연애플레이리스트3 Part.1,10cm,로엔엔터테인먼트,PLAYLIST
정인 (情人),미스터 션샤인 OST Part 13,세정,Stone Music Entertainment,"Stone Music Entertainment, 화앤담픽쳐스"
이별하러 가는 길,이별하러 가는 길,임한별,로엔엔터테인먼트,모스트웍스
IndiGO,IM,"저스디스 (JUSTHIS), Kid Milli, NO:EL, 영비 (Young B)",로엔엔터테인먼트,인디고뮤직
열애중 (답가),열애중 (답가),하은,지니뮤직,"인디안레이블, 메이저나인"
유재석 (prod. 진대호),별,빈첸 (VINXEN),로엔엔터테인먼트,로맨틱팩토리
별 (Feat. 김종완 of 넬) (prod.BOYCOLD),별,빈첸 (VINXEN),로엔엔터테인먼트,로맨틱팩토리
도망가지마,A-TEEN Part.4,모트 (Motte),로엔엔터테인먼트,PLAYLIST
가을 타나 봐,가을 타나 봐,바이브 (Vibe),지니뮤직,메이저나인
하루도 그대를 사랑하지 않은 적이 없었다,하루도 그대를 사랑하지 않은 적이 없었다,임창정,인터파크,NH EMG
우리 그만하자,우리 그만하자,로이킴,Stone Music Entertainment,Stone Music Entertainment
지워져,백일의 낭군님 OST Part 1,거미,Stone Music Entertainment,"Stone Music Entertainment, 팝뮤직"
사랑에 아파본 적 있나요,리코드,스탠딩 에그 (Standing Egg),로엔엔터테인먼트,스포트라이트
셀 수 없는 (Countless),`The Story of Light` Epilogue - The 6th Album,샤이니 (SHINee),IRIVER,SM Entertainment
We Young,We Young,"찬열, 세훈",IRIVER,SM Entertainment
V,V,박재범,Stone Music Entertainment,AOMG
노래,노래,김동률,로엔엔터테인먼트,뮤직팜
불꽃놀이 (Remember Me),6th Mini Album `REMEMBER ME`,오마이걸 (OH MY GIRL),로엔엔터테인먼트,WM엔터테인먼트
잘 지내요,라이프 OST Part.6,정승환,지니뮤직,씨그널엔터테인먼트그룹
헤어지는 중,헤어지는 중,펀치 (Punch),로엔엔터테인먼트,냠냠엔터테인먼트
사이렌 (Siren),WARNING,선미,로엔엔터테인먼트,메이크어스엔터테인먼트
너만 괜찮다면,Second Write..,남우현,로엔엔터테인먼트,울림 엔터테인먼트
We Go Up,We Go Up - The 2nd Mini Album,NCT DREAM,IRIVER,SM Entertainment
"NOAH (Feat. 박재범, Hoody)",TRAVEL: NOAH,김하온 (HAON),Stone Music Entertainment,H1GHR MUSIC
See You Again (Feat. 리처드 용재 오닐),미스터 션샤인 OST Part 11,백지영,Stone Music Entertainment,"Stone Music Entertainment, 화앤담픽쳐스"
몰랐니 (Lil’ Touch),몰랐니 - The 1st Single Album,소녀시대-Oh!GG,IRIVER,SM Entertainment
사이렌(Siren),WARNING,선미,로엔엔터테인먼트,메이크어스엔터테인먼트
Kiss Me Like That,SHINHWA TWENTY SPECIAL ALBUM `HEART`,신화,뮤직앤뉴,신화컴퍼니
AND I,미스터 션샤인 OST Part 10,뉴이스트 W,Stone Music Entertainment,"Stone Music Entertainment, 화앤담픽쳐스"
YOUNG,YOUNG,"백현 (BAEKHYUN), 로꼬",IRIVER,SM Entertainment
Vacation (Feat. SOLE),Vacation,개코 (GAEKO),Stone Music Entertainment,아메바컬쳐
늘 그대,뜻밖의 만남 #9. 늘 그대,"양희은, 성시경",로엔엔터테인먼트,옹달샘
I AM,PRODUCE 48 - 30 Girls 6 Concepts,새벽 한 시,Stone Music Entertainment,Stone Music Entertainment
IDOL (Feat. Nicki Minaj),LOVE YOURSELF 結 `Answer`,방탄소년단,IRIVER,빅히트 엔터테인먼트
스무살이 왜이리 능글맞아 (Feat. 숀 (SHAUN)),스무살이 왜이리 능글맞아,오반 (OVAN),로엔엔터테인먼트,로맨틱팩토리
다시 만나 (See you again),PRODUCE 48 - 30 Girls 6 Concepts,약속,Stone Music Entertainment,Stone Music Entertainment
Serendipity (Full Length Edition),LOVE YOURSELF 結 `Answer`,방탄소년단,IRIVER,빅히트 엔터테인먼트
미워도 다시 한 번,리플리 Vol.3,벤(Ben),로엔엔터테인먼트,PLAYLIST
1000%,PRODUCE 48 - 30 Girls 6 Concepts,Summer Wish,Stone Music Entertainment,Stone Music Entertainment
Rollin` Rollin`,PRODUCE 48 - 30 Girls 6 Concepts,러브포션,Stone Music Entertainment,Stone Music Entertainment
Trivia 承 : Love,LOVE YOURSELF 結 `Answer`,방탄소년단,IRIVER,빅히트 엔터테인먼트
Trivia 轉 : Seesaw,LOVE YOURSELF 結 `Answer`,방탄소년단,IRIVER,빅히트 엔터테인먼트
왜 몰랐을까,아는 와이프 OST Part 3,로이킴,Stone Music Entertainment,Stone Music Entertainment
너에게 닿기를 (To reach you),PRODUCE 48 - 30 Girls 6 Concepts,기억 조작단,Stone Music Entertainment,Stone Music Entertainment
Power,The Power Of Music - The 4th Album Repackage,EXO,지니뮤직,SM Entertainment
어디에도,pathos,엠씨더맥스 (M.C The Max),뮤직앤뉴,뮤직앤뉴
HOLIDAY (Feat. DPR LIVE),Faces of Love,수지,IRIVER,JYP Entertainment
덜덜덜,Full Moon,EXID,Sony Music,바나나컬쳐
Ko Ko Bop,THE WAR - The 4th Album,EXO,지니뮤직,SM Entertainment
눈 (Feat. 이문세),눈,자이언티(Zion.T),지니뮤직,The Black Label
별,별,양요섭,로엔엔터테인먼트,어라운드 어스
겨울소리,겨울소리,박효신,CJ E&M,글러브엔터테인먼트
애쓰지 마요,애쓰지 마요,박보람,CJ E&M,"Stone Music Entertainment, MMO Entertainment"
고민보다 Go,LOVE YOURSELF 承 `Her`,방탄소년단,로엔엔터테인먼트,빅히트 엔터테인먼트
팔레트 (Feat. G-DRAGON),Palette,아이유 (IU),로엔엔터테인먼트,페이브엔터테인먼트
다시 쓰고 싶어,이런 꽃 같은 엔딩 OST Part 3,에일리 (Ailee),로엔엔터테인먼트,스페이스오디티
매일 듣는 노래 (A Daily Song),Be ordinary,황치열,NHN벅스,How엔터테인먼트
한숨,SEOULITE,이하이,지니뮤직,YG Entertainment
Blue,Red Diary Page.1,볼빨간 사춘기,로엔엔터테인먼트,쇼파르뮤직
미안해,inside,양다일,로엔엔터테인먼트,브랜뉴뮤직
그 사람을 아나요,그 사람을 아나요,임창정,인터파크,NH EMG
Closer (Feat. Halsey),Collage,The Chainsmokers,Sony Music,"Disruptor Records, Columbia"
Universe,"Universe - 겨울 스페셜 앨범, 2017",EXO,지니뮤직,SM Entertainment
Thunder,Thunder,Imagine Dragons,Universal Music,"KIDinaKORNER, Interscope Records"
바람이 불었으면 좋겠어,바람이 불었으면 좋겠어,길구봉구,로엔엔터테인먼트,WS엔터테인먼트
에너제틱 (Energetic),1X1=1(TO BE ONE),Wanna One (워너원),CJ E&M,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT"
REALLY REALLY,FATE NUMBER FOR,위너(WINNER),지니뮤직,YG Entertainment
비밀정원,비밀정원,오마이걸 (OH MY GIRL),로엔엔터테인먼트,WM엔터테인먼트
나의 사춘기에게,Red Diary Page.1,볼빨간 사춘기,로엔엔터테인먼트,쇼파르뮤직
네가 없는 곳,YANG YOSEOP 2ND MINI ALBUM `白`,양요섭,로엔엔터테인먼트,어라운드 어스
고맙다,SEVENTEEN SPECIAL ALBUM `DIRECTOR`S CUT`,세븐틴,로엔엔터테인먼트,플레디스
마지막처럼,마지막처럼,BLACKPINK,지니뮤직,YG Entertainment
짙어져,Yellow OST part.2,멜로망스(MeloMance),로엔엔터테인먼트,스페이스오디티
바보야,바보야,허각,로엔엔터테인먼트,플랜에이 엔터테인먼트
Lonely (Feat. 태연),종현 소품집 `이야기 Op.2`,종현 (JONGHYUN),지니뮤직,SM Entertainment
연애소설 (Feat. 아이유),WE`VE DONE SOMETHING WONDERFUL,에픽하이 (EPIK HIGH),지니뮤직,YG Entertainment
오늘밤도,오늘밤도,펀치 (Punch),CJ E&M,냠냠엔터테인먼트
비가 온다,그리고 봄,정승환,지니뮤직,안테나뮤직
빨간 맛 (Red Flavor),The Red Summer - Summer Mini Album,레드벨벳(Red Velvet),지니뮤직,SM Entertainment
빛 (Hope),Resurrection,H.O.T,SM Entertainment,SM Entertainment
가시나,SUNMI SPECIAL EDITION [가시나],선미,로엔엔터테인먼트,"메이크어스엔터테인먼트, The Black Label"
노력,01월 24일,박원,로엔엔터테인먼트,메이크어스엔터테인먼트
봄날,YOU NEVER WALK ALONE,방탄소년단,로엔엔터테인먼트,빅히트 엔터테인먼트
Beautiful,1-1=0 (NOTHING WITHOUT YOU),Wanna One (워너원),CJ E&M,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT"
첫눈처럼 너에게 가겠다,도깨비 OST Part 9,에일리 (Ailee),CJ E&M,"CJ E&M,화앤담픽쳐스"
"그때의 나, 그때의 우리","그때의 나, 그때의 우리",어반 자카파 (Urban Zakapa),로엔엔터테인먼트,메이크어스엔터테인먼트
후유증,후유증,"김희철, 민경훈",CJ E&M,"인넥스트트렌드, 롱플레이뮤직"
비도 오고 그래서 (Feat. 신용재),/// (너 먹구름 비),헤이즈 (Heize),CJ E&M,CJ E&M
There`s Nothing Holdin` Me Back,Illuminate (New Deluxe Ver.),Shawn Mendes,Universal Music,"Island Records, a division of UMG Recordings, Inc."
썸 탈꺼야,Red Diary Page.1,볼빨간 사춘기,로엔엔터테인먼트,쇼파르뮤직
너 없는 시간들,&10,다비치,CJ E&M,"Stone Music Entertainment, B2M Entertainment"
True Love,1st Album `10 Stories`,김성규,로엔엔터테인먼트,울림 엔터테인먼트
You,투유 프로젝트 - 슈가맨2 Part.2,멜로망스(MeloMance),인터파크,JTBC
좋아,2017 월간 윤종신 11월호,"윤종신, 민서",CJ E&M,미스틱 엔터테인먼트
눈 떠보니 이별이더라,REMEMBER ME,포맨 (4Men),로엔엔터테인먼트,메이저나인
시차 (We Are) (Feat. 로꼬 & GRAY),시차 (We Are),우원재,CJ E&M,AOMG
가을 안부,가을 안부,먼데이키즈 (Monday Kiz),지니뮤직,"RBW, 먼데이키즈 컴퍼니"
그리워하다,Brother Act.,비투비 (BTOB),로엔엔터테인먼트,큐브엔터테인먼트
답장,답장,김동률,로엔엔터테인먼트,뮤직팜
기억의 빈자리,기억의 빈자리,나얼,CJ E&M,"인넥스트트렌드, 롱플레이뮤직"
피카부 (Peek-A-Boo),Perfect Velvet - The 2nd Album,레드벨벳(Red Velvet),지니뮤직,SM Entertainment
밤편지,밤편지,아이유 (IU),로엔엔터테인먼트,페이브엔터테인먼트
Shape of You,? (Deluxe),Ed Sheeran,Warner Music,Atlantic Records UK
My Way,돈꽃 OST Part 1,이수,뮤직앤뉴,"윈드밀이엔티, 뮤직버디"
LIKEY,twicetagram,TWICE,지니뮤직,JYP Entertainment
DNA,LOVE YOURSELF 承 `Her`,방탄소년단,로엔엔터테인먼트,빅히트 엔터테인먼트
다른사람을 사랑하고 있어,Faces of Love,수지,IRIVER,JYP Entertainment
all of my life,0M,박원,로엔엔터테인먼트,메이크어스엔터테인먼트
좋니,LISTEN 010 좋니,윤종신,로엔엔터테인먼트,미스틱 엔터테인먼트
이 별,Star,길구봉구,지니뮤직,뮤직웍스
Heart Shaker,Merry & Happy,TWICE,지니뮤직,JYP Entertainment
밤이 되니까,밤이 되니까,펀치 (Punch),CJ E&M,냠냠엔터테인먼트
#첫사랑,#첫사랑,볼빨간 사춘기,로엔엔터테인먼트,"쇼파르뮤직, 딩고뮤직"
instagram,instagram,DEAN,Universal Music,Joombas Co Ltd & Universal Music
주인공,주인공,선미,로엔엔터테인먼트,"메이크어스엔터테인먼트, The Black Label"
비행운,LIFE IS BEAUTY FULL,문문 (MoonMoon),미러볼뮤직,덕선레코드
눈사람,눈사람,정승환,지니뮤직,안테나뮤직
HandClap,Fitz and The Tantrums (Deluxe),Fitz & The Tantrums,Warner Music,Elektra
선물,Moonlight,멜로망스(Melomance),로엔엔터테인먼트,"민트페이퍼, 광합성"
Havana (Feat. Young Thug),Havana,Camila Cabello,Sony Music,Syco Music/Epic
Roller Coaster,Offset,청하,CJ E&M,MNH Entertainment
Bad Boy,The Perfect Red Velvet - The 2nd Album Repackage,레드벨벳(Red Velvet),IRIVER,SM Entertainment
그날처럼,그날처럼,장덕철,로엔엔터테인먼트,리메즈
그때 헤어지면 돼,그때 헤어지면 돼,로이킴,CJ E&M,"Stone Music Entertainment, MMO Entertainment"
뿜뿜,GREAT!,모모랜드 (MOMOLAND),로엔엔터테인먼트,"더블킥컴퍼니, 로엔엔터테인먼트"
붕붕 (Feat. Sik-K) (Prod. GroovyRoom),고등래퍼2 Final,김하온 (HAON),CJ E&M,Stone Music Entertainment
Adios (Prod. BOYCOLD),고등래퍼2 Semi Final,김하온 (HAON),CJ E&M,Stone Music Entertainment
花요일 (Blooming Day),Blooming Days - The 2nd Mini Album,EXO-CBX (첸백시),IRIVER,SM Entertainment
What is Love?,What is Love?,TWICE,IRIVER,JYP Entertainment
LA LA,EVERYD4Y,WINNER,지니뮤직,YG Entertainment
여보세요 (HELLO),EVERYD4Y,WINNER,지니뮤직,YG Entertainment
예뻤더라 (WE WERE),EVERYD4Y,WINNER,지니뮤직,YG Entertainment
아름다운 (Feat. 헤이즈),아름다운,신용재,로엔엔터테인먼트,메이저나인
탓 (Prod. BOYCOLD),고등래퍼2 Semi Final,이병재 (Vinxen),CJ E&M,Stone Music Entertainment
그대니까요,라이브 OST Part.3,다비치,로엔엔터테인먼트,냠냠엔터테인먼트
MADMAX (Feat. Woodie Gochild) (Prod. GroovyRoom),고등래퍼2 팀대항전 Part 3,박준호 (PULLIK),CJ E&M,Stone Music Entertainment
손만 잡고 자자 (TURN OFF THE LIGHT) (MINO SOLO),EVERYD4Y,WINNER,지니뮤직,YG Entertainment
넋두리,넋두리,닐로 (Nilo),퍼플파인 엔터테인먼트,닐로엔터테인먼트
AIR,EVERYD4Y,WINNER,지니뮤직,YG Entertainment
"Young Wave (Feat. 행주, 보이비)",고등래퍼2 팀대항전 Part 3,오담률 (CHIN CHILLA),CJ E&M,Stone Music Entertainment
내일해,내일해,EXID,Sony Music,바나나컬쳐
EVERYDAY,EVERYD4Y,WINNER,지니뮤직,YG Entertainment
봄이 좋냐??,3.2,10cm,포크라노스,매직스트로베리사운드
매일 봐요,매일 봐요 (MAEIL BIO),마마무 (Mamamoo),로엔엔터테인먼트,RBW
하루끝엔 그대가 있어요,라이브OST Part.2,한동근,로엔엔터테인먼트,냠냠엔터테인먼트
Someone like you,라이브 OST Part.1,EXO-CBX (첸백시),로엔엔터테인먼트,냠냠엔터테인먼트
널 부르는 밤,Sound Doctrine,나얼,CJ E&M,"인넥스트트렌드, 롱플레이뮤직"
봄 사랑 벚꽃 말고,봄 사랑 벚꽃 말고,"HIGH4, 아이유 (IU)",로엔엔터테인먼트,엔에이피엔터테인먼트
남겨둘게 (Feat. 헤이즈),남겨둘게,키썸 (Kisum),CJ E&M,"맵스엔터테인먼트, 로엔엔터테인먼트"
그럴 수밖에,그럴 수밖에,김동률,로엔엔터테인먼트,뮤직팜
지나오다,About You,닐로 (Nilo),퍼플파인 엔터테인먼트,닐로 컴퍼니
바코드 (Prod. GroovyRoom),고등래퍼2 팀대항전 Part 3,"김하온 (HAON), 이병재 (Vinxen)",CJ E&M,CJ E&M
운명 (The Chance of Love),New Chapter #1 : The Chance of Love - The 8th Album,동방신기,IRIVER,SM Entertainment
"Like It (Feat. 행주, 보이비)",고등래퍼2 팀대항전 Part 2,"배연서 (WEBSTER B), 윤진영(Clloud)",CJ E&M,CJ E&M
비,비,폴킴,NHN벅스,뉴런뮤직
어린 왕자 (Prod. Godic),고등래퍼2 팀대항전 Part 2,"김하온(HAON), 박준호(PULLIK)",CJ E&M,CJ E&M
껍데기는 가,고등래퍼2 팀대항전 Part 1,"김근수, 조원우 (H2ADIN)",CJ E&M,CJ E&M
"모든 날, 모든 순간 (Every day, Every Moment)",`키스 먼저 할까요?` OST Part.3,폴킴,IRIVER,SM Entertainment
약속해요 (고백 Ver.),0+1=1 (I PROMISE YOU),Wanna One (워너원),CJ E&M,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT"
WE ARE,0+1=1 (I PROMISE YOU),Wanna One (워너원),CJ E&M,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT"
보여,0+1=1 (I PROMISE YOU),Wanna One (워너원),CJ E&M,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT"
너의 이름을,0+1=1 (I PROMISE YOU),Wanna One (워너원),CJ E&M,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT"
GOLD,0+1=1 (I PROMISE YOU),Wanna One (워너원),CJ E&M,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT"
소나기 (Feat. 10cm),소나기,용준형,로엔엔터테인먼트,어라운드 어스
BOOMERANG (부메랑),0+1=1 (I PROMISE YOU),Wanna One (워너원),CJ E&M,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT"
북 (Prod.SLO),고등래퍼2 팀대항전 Part 1,"배연서 (WEBSTER B), 오담률 (CHIN CHILLA)",CJ E&M,CJ E&M
BOSS,NCT 2018 EMPATHY,NCT U,IRIVER,SM Entertainment
결혼,이번 생은 처음이라 OST Part 4,문문 (MoonMoon),CJ E&M,CJ E&M
실례해도 될까요,LISTEN 020 실례해도 될까요,"장재인, 수호(SUHO)",로엔엔터테인먼트,미스틱 엔터테인먼트
Action! (Feat. GRAY),Action!,DPR LIVE,로엔엔터테인먼트,DREAM PERFECT REGIME
벚꽃 엔딩,1집 버스커 버스커,버스커 버스커 (Busker Busker),CJ E&M,CJ E&M
My Blossom,My Blossom,소유,NHN벅스,스페이스오디티
나타나줘 (Feat. 박재범),나타나줘,로꼬 (LOCO),로엔엔터테인먼트,AOMG
Look,Eyes On You,GOT7,IRIVER,JYP Entertainment
꽃 길,꽃 길,빅뱅,지니뮤직,YG Entertainment
She`s gone,Big wave,정일훈,로엔엔터테인먼트,큐브엔터테인먼트
갖고 싶어,1-1=0 (NOTHING WITHOUT YOU),Wanna One (워너원),CJ E&M,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT"
바람,바람,헤이즈 (Heize),CJ E&M,"CJ E&M, Studio blu"
다시,다시,이상순,로엔엔터테인먼트,이상순
그날의 너에게,그날의 너에게,노을,로엔엔터테인먼트,씨제스엔터테인먼트
MIANHAE,바람,헤이즈 (Heize),CJ E&M,"CJ E&M, Studio blu"
잘 살길 바래 (With. DAVII),바람,헤이즈 (Heize),CJ E&M,"CJ E&M, Studio blu"
별 바람 꽃 태양,Yellow Flower,마마무 (Mamamoo),로엔엔터테인먼트,RBW
고무줄다리기 (Rubber Band),고무줄다리기 (Rubber Band),iKON,지니뮤직,YG Entertainment
괜찮냐고,바람,헤이즈 (Heize),CJ E&M,"CJ E&M, Studio blu"
내가 더 나빠,바람,헤이즈 (Heize),CJ E&M,"CJ E&M, Studio blu"
약속해요 (I.P.U.),약속해요 (I.P.U.) - Special Theme Track,Wanna One (워너원),CJ E&M,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT"
Jenga (Feat. Gaeko),바람,헤이즈 (Heize),CJ E&M,"CJ E&M, Studio blu"
별이 빛나는 밤,Yellow Flower,마마무 (Mamamoo),로엔엔터테인먼트,RBW
오늘 취하면 (Feat.창모) (Prod. SUGA),WINE,수란 (SURAN),로엔엔터테인먼트,밀리언마켓
What Lovers Do (Feat. SZA),Red Pill Blues (Deluxe Edition),Maroon 5,Universal Music,Interscope Records
널 너무 모르고,/// (너 먹구름 비),헤이즈 (Heize),CJ E&M,CJ E&M
사랑하지 않은 것처럼,`Be One` - Buzz The 1st Mini Album,버즈 (Buzz),CJ E&M,"인넥스트트렌드, 산타뮤직"
너였다면,또 오해영 OST Part 5,정승환,CJ E&M,CJ E&M
LONG TIME NO SEE,Return,iKON,지니뮤직,YG Entertainment
Love Yourself,Purpose (Deluxe Edition),Justin Bieber,Universal Music,"Def Jam Records, a division of UMG Recordings, Inc"
폰서트,4,10cm,로엔엔터테인먼트,매직스트로베리사운드
빛이 나 (Shinin`),Poet｜Artist,종현 (JONGHYUN),지니뮤직,SM Entertainment
가을 아침,꽃갈피 둘,아이유 (IU),로엔엔터테인먼트,페이브엔터테인먼트
너 하나만 (Feat. 효린),너 하나만,GOT7,IRIVER,JYP Entertainment
피 땀 눈물,WINGS,방탄소년단,로엔엔터테인먼트,빅히트 엔터테인먼트
Something Just Like This,Something Just Like This,"The Chainsmokers, Coldplay",Sony Music,"Disruptor Records, Columbia"
행복 (Full Of Happiness),Wolf & Sheep,H.O.T,SM Entertainment,SM Entertainment
MIC Drop,LOVE YOURSELF 承 `Her`,방탄소년단,로엔엔터테인먼트,빅히트 엔터테인먼트
Tell Me,TOP SEED,인피니트 (Infinite),로엔엔터테인먼트,울림 엔터테인먼트
남이 될 수 있을까,남이 될 수 있을까,"볼빨간 사춘기, 스무살",로엔엔터테인먼트,쇼파르뮤직
봉제선 (Feat. 수란),봉제선,다이나믹 듀오 (Dynamic Duo),CJ E&M,아메바컬쳐
Youth,Youth,Troye Sivan,Universal Music,Universal Music
I Want You,`The Story of Light` EP.2 - The 6th Album,샤이니 (SHINee),IRIVER,SM Entertainment
The Feeling,The Feeling,비투비 (BTOB),로엔엔터테인먼트,큐브엔터테인먼트
Forever Young,SQUARE UP,BLACKPINK,지니뮤직,YG Entertainment
뚜두뚜두 (DDU-DU DDU-DU),SQUARE UP,BLACKPINK,지니뮤직,YG Entertainment
FAKE LOVE (Rocking Vibe Mix),FAKE LOVE (Rocking Vibe Mix),방탄소년단,IRIVER,빅히트 엔터테인먼트
11 (Prod. 다이나믹듀오),1÷χ=1 (UNDIVIDED),Wanna One (워너원) - 남바완,Stone Music Entertainment,"SWING Entertainment, Stone Music Entertainment"
영원+1 (Prod. NELL),1÷χ=1 (UNDIVIDED),Wanna One (워너원) - 린온미,Stone Music Entertainment,"SWING Entertainment, Stone Music Entertainment"
모래시계 (Prod. 헤이즈),1÷χ=1 (UNDIVIDED),Wanna One (워너원) - 더힐,Stone Music Entertainment,"SWING Entertainment, Stone Music Entertainment"
캥거루 (Kangaroo) (Prod. ZICO),1÷χ=1 (UNDIVIDED),Wanna One (워너원) - 트리플포지션,Stone Music Entertainment,"SWING Entertainment, Stone Music Entertainment"
켜줘 (Light),1÷χ=1 (UNDIVIDED),Wanna One (워너원),Stone Music Entertainment,"SWING Entertainment, Stone Music Entertainment"
안녕 (You & I),`The Story of Light` EP.1 - The 6th Album,샤이니 (SHINee),IRIVER,SM Entertainment
All Day All Night,`The Story of Light` EP.1 - The 6th Album,샤이니 (SHINee),IRIVER,SM Entertainment
영원히,영원히,성시경,로엔엔터테인먼트,에스케이재원
이 밤의 끝,이 밤의 끝,펀치 (Punch),Stone Music Entertainment,냠냠엔터테인먼트
"다시, 우리","다시, 우리",길구봉구,지니뮤직,뮤직웍스
LOVE YA!,24 : How to find true love and happiness,혁오 (hyukoh),Stone Music Entertainment,두루두루AMC
데리러 가 (Good Evening),`The Story of Light` EP.1 - The 6th Album,샤이니 (SHINee),IRIVER,SM Entertainment
빙글뱅글 (Bingle Bangle),BINGLE BANGLE,AOA,로엔엔터테인먼트,FNC엔터테인먼트
Lullaby,더 콜(The Call) 두 번째 프로젝트,"신승훈, 비와이(BewhY)",Stone Music Entertainment,Stone Music Entertainment
SELFISH (Feat. 슬기 Of Red Velvet),SELFISH,문별,로엔엔터테인먼트,RBW
Clip,Red Diary Page.2,볼빨간사춘기,로엔엔터테인먼트,쇼파르뮤직
"안녕, 곰인형",Red Diary Page.2,볼빨간사춘기,로엔엔터테인먼트,쇼파르뮤직
야경,Red Diary Page.2,볼빨간사춘기,로엔엔터테인먼트,쇼파르뮤직
Lonely,Red Diary Page.2,볼빨간사춘기,로엔엔터테인먼트,쇼파르뮤직
바람사람,Red Diary Page.2,볼빨간사춘기,로엔엔터테인먼트,쇼파르뮤직
여행,Red Diary Page.2,볼빨간사춘기,로엔엔터테인먼트,쇼파르뮤직
열애중,RECIPE,벤 (Ben),지니뮤직,메이저나인
Outro : Tear,LOVE YOURSELF 轉 `Tear`,방탄소년단,IRIVER,빅히트 엔터테인먼트
Additional,Additional,폴킴,로엔엔터테인먼트,"뉴런뮤직, 로엔엔터테인먼트"
Intro : Singularity,LOVE YOURSELF 轉 `Tear`,방탄소년단,IRIVER,빅히트 엔터테인먼트
Fly Away,더 콜(The Call) 첫 번째 프로젝트,"신승훈, 에일리",Stone Music Entertainment,Stone Music Entertainment
So What,LOVE YOURSELF 轉 `Tear`,방탄소년단,IRIVER,빅히트 엔터테인먼트
Airplane pt.2,LOVE YOURSELF 轉 `Tear`,방탄소년단,IRIVER,빅히트 엔터테인먼트
